stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1220,,Cabina Enel,,45.479767,12.285228,,,,,,
1221,,Sottopasso,,45.537613,12.299688,,,,,,
1223,,Dese (v.delle Cicogne),,45.531807,12.303196,,,,,,
1224,,Dese Centro,,45.528294,12.304097,,,,,,
1225,,Dese  scuola Materna,,45.526306,12.303276,,,,,,
1226,,Civico 181,,45.526260,12.297414,,,,,,
1227,,Civico 184,,45.522385,12.288410,,,,,,
1228,,Incr. via Ca' Badoera,,45.516186,12.283892,,,,,,
1230,,Incr.v.Colombara (chiesa),,45.511486,12.282914,,,,,,
1231,,"Incr. via Indri  ""pesa""",,45.509735,12.282385,,,,,,
1232,,Civico 101 (v.S.Andrea),,45.507824,12.282148,,,,,,
1233,,Favaro Municipio,,45.505127,12.282409,,,,,,
1241,,Falzarego,,45.504719,12.253015,,,,,,
1242,,Piazza Carpenedo,,45.504879,12.250231,,,,,,
1243,,Cimitero,,45.499912,12.246756,,,,,,
1244,,Giardini,,45.502392,12.248509,,,,,,
1245,,Spalti,,45.497044,12.244541,,,,,,
1256,,Cimitero Marghera,,45.470589,12.207773,,,,,,
1257,,Incr. via Rione Pertini,,45.482300,12.269218,,,,,,
1258,,Incr. via Gavagnin,,45.483215,12.267179,,,,,,
1259,,Chiesa,,45.486523,12.270669,,,,,,
1260,,Istituto Foscari,,45.491146,12.269431,,,,,,
1264,,Civico 151,,45.493477,12.265884,,,,,,
1265,,Incr. via Mascheroni,,45.494267,12.264043,,,,,,
1267,,Incr. via Plinio,,45.497410,12.265296,,,,,,
1268,,Incr. via Bissuola,,45.495209,12.263380,,,,,,
1269,,Civico 88 (v.Tevere),,45.493866,12.260180,,,,,,
1270,,Istituto Berna,,45.494102,12.256093,,,,,,
1271,,Farmacia,,45.495220,12.252627,,,,,,
1272,,Incr.v.Colombo Civico 7,,45.495674,12.248920,,,,,,
1278,,Istituti scolastici,,45.496807,12.258912,,,,,,
1279,,Capolinea,,45.497936,12.257053,,,,,,
1280,,Istituti scolastici,,45.496574,12.259210,,,,,,
1284,,Incr. via Pasqualigo,,45.507183,12.261142,,,,,,
1285,,Civico 45,,45.505634,12.260758,,,,,,
1286,,Quartiere S. Giuseppe,,45.480907,12.266476,,,,,,
1287,,Incr.v.Pertini,,45.483772,12.262691,,,,,,
1288,,Incr. via Gritti,,45.486084,12.259979,,,,,,
1289,,Incr. via Cattaneo,,45.491871,12.253617,,,,,,
1290,,Incr. via Pigafetta,,45.493584,12.252581,,,,,,
1291,,Incr. via Garigliano,,45.495926,12.251306,,,,,,
1292,,Civico 32,,45.498016,12.248163,,,,,,
1296,,Fornase,,45.477577,12.158244,,,,,,
1297,,Cimitero,,45.481224,12.161765,,,,,,
1301,,Civico 62,,45.567219,12.360647,,,,,,
1302,,Le Crete,,45.560429,12.352803,,,,,,
1303,,Le Crete,,45.560196,12.352077,,,,,,
1304,,Matteotti,,45.489979,12.170173,,,,,,
1305,,Sanremo,,45.494946,12.158059,,,,,,
1306,,Localita' Orgnano,,45.496014,12.152871,,,,,,
1307,,Spinea (bivio V.Fiori),,45.485046,12.146421,,,,,,
1308,,Spinea  (via Desenzano),,45.488979,12.148776,,,,,,
1309,,Civico 95,,45.567333,12.360950,,,,,,
1310,,Pozzuoli,,45.488781,12.150131,,,,,,
1311,,Goldoni,,45.491623,12.152626,,,,,,
1312,,Giorgione,,45.486824,12.179265,,,,,,
1313,,Selenia,,45.485645,12.181893,,,,,,
1314,,Chirignago,,45.484528,12.189015,,,,,,
1315,,Incr. via dell' Edera,,45.483173,12.192863,,,,,,
1316,,Incr.via dei Pioppi,,45.477406,12.198316,,,,,,
1317,,Pozzuoli,,45.488712,12.149917,,,,,,
1318,,Civico 99,,45.474098,12.201151,,,,,,
1319,,Civico 87,,45.473289,12.200322,,,,,,
1320,,Civico 114,,45.474033,12.196892,,,,,,
1321,,Civico 49 (v.Morari),,45.473274,12.195314,,,,,,
1322,,Incr. via degli Ontani,,45.472542,12.192305,,,,,,
1325,,Rampa Rizzardi,,45.479496,12.239748,,,,,,
1326,,Catene  Chiesa,,45.477222,12.202905,,,,,,
1327,,Parco Catene,,45.477158,12.205816,,,,,,
1328,,Incr. via del Bosco,,45.476948,12.209763,,,,,,
1329,,Incr.v.Chioggia,,45.476730,12.215623,,,,,,
1330,,Civico 31,,45.478119,12.219826,,,,,,
1331,,CITA,,45.479942,12.223845,,,,,,
1336,,Incr. via Monzani,,45.463123,12.216402,,,,,,
1338,,via della Fratellanza,,45.461979,12.221536,,,,,,
